09:21:44 [backtester.data_loader] INFO: Loading market prices...
09:21:52 [backtester.data_loader] INFO: Loading order books...
09:22:20 [backtester.data_loader] INFO: Loading Binance LOB...
09:22:21 [backtester.data_loader] INFO: Loading Chainlink prices...
09:22:28 [backtester.data_loader] INFO: Found 8466 markets across ['5m', '15m', 'hourly']
09:22:47 [backtester.data_loader] INFO: Computed 8466 settlements
09:22:55 [backtester.data_loader] INFO: Parsing 877,112 order-book snapshots...
09:23:08 [backtester.data_loader] INFO:   parsed 175,422/877,112 books
09:23:23 [backtester.data_loader] INFO:   parsed 350,844/877,112 books
09:23:34 [backtester.data_loader] INFO:   parsed 526,266/877,112 books
09:23:46 [backtester.data_loader] INFO:   parsed 701,688/877,112 books
09:23:56 [backtester.data_loader] INFO:   parsed 877,110/877,112 books
09:23:57 [backtester.data_loader] INFO: Building timeline: 641525 seconds, 8466 markets
09:23:58 [backtester.data_loader] INFO:   timeline build: 64,152/641,525 (10%, active=9)
09:24:02 [backtester.data_loader] INFO:   timeline build: 128,304/641,525 (20%, active=9)
09:24:05 [backtester.data_loader] INFO:   timeline build: 192,456/641,525 (30%, active=9)
09:24:07 [backtester.data_loader] INFO:   timeline build: 256,608/641,525 (40%, active=9)
09:24:08 [backtester.data_loader] INFO:   timeline build: 320,760/641,525 (50%, active=9)
09:24:09 [backtester.data_loader] INFO:   timeline build: 384,912/641,525 (60%, active=9)
09:24:10 [backtester.data_loader] INFO:   timeline build: 449,064/641,525 (70%, active=9)
09:24:10 [backtester.data_loader] INFO:   timeline build: 513,216/641,525 (80%, active=4)
09:24:11 [backtester.data_loader] INFO:   timeline build: 577,368/641,525 (90%, active=6)
09:24:11 [backtester.data_loader] INFO:   timeline build: 641,520/641,525 (100%, active=9)
09:24:11 [backtester.data_loader] INFO: Timeline built: 641525 ticks, 8466 markets
09:24:26 [backtester.engine] INFO: Starting backtest: AggressiveEdgeV3 | 641525 ticks | $10,000 starting cash | 8466 markets
09:58:54 [backtester.engine] INFO: Tick 612000 (idx 611999/641525) | ts=1776166413 | portfolio=$19,144.73 | trades=6780 | settled=8157
09:59:02 [backtester.engine] INFO: Tick 615600 (idx 615599/641525) | ts=1776170013 | portfolio=$19,123.21 | trades=6782 | settled=8193
09:59:09 [backtester.engine] INFO: Tick 619200 (idx 619199/641525) | ts=1776173613 | portfolio=$19,123.21 | trades=6782 | settled=8232
09:59:17 [backtester.engine] INFO: Tick 622800 (idx 622799/641525) | ts=1776177213 | portfolio=$19,360.47 | trades=6784 | settled=8268
09:59:24 [backtester.engine] INFO: Tick 626400 (idx 626399/641525) | ts=1776180813 | portfolio=$19,428.97 | trades=6785 | settled=8304
09:59:31 [backtester.engine] INFO: Tick 630000 (idx 629999/641525) | ts=1776184413 | portfolio=$19,428.97 | trades=6785 | settled=8334
09:59:39 [backtester.engine] INFO: Tick 633600 (idx 633599/641525) | ts=1776188013 | portfolio=$19,428.97 | trades=6785 | settled=8361
09:59:48 [backtester.engine] INFO: Tick 637200 (idx 637199/641525) | ts=1776191613 | portfolio=$19,371.84 | trades=6795 | settled=8394
09:59:58 [backtester.engine] INFO: Tick 640800 (idx 640799/641525) | ts=1776195213 | portfolio=$19,912.00 | trades=6801 | settled=8445
10:00:01 [backtester.engine] INFO: Tick 641525 (idx 641524/641525) | ts=1776195938 | portfolio=$20,440.87 | trades=6807 | settled=8457
10:00:01 [backtester.engine] INFO: Backtest complete: AggressiveEdgeV3 | 2134.4s | P&L=$+10,935.87 | trades=6807 | rejected=78821
Loading strategy: my_strategy.py
Strategy loaded: AggressiveEdgeV3
Loading data from: /Users/antara/finaldatahacks/DATAHACKS2026/data/train
Running backtest: 641525 ticks, 8466 markets...

============================================================
  BACKTEST REPORT: AggressiveEdgeV3
============================================================
  Period:     2026-04-07 09:33:34 UTC -> 2026-04-14 19:45:38 UTC
  Duration:   178.2 hours (641,524 seconds)
  Runtime:    2134.4s

  Starting:   $ 10,000.00
  Final:      $ 20,935.87
  P&L:        $+10,935.87 (+109.36%)

  Sharpe:          11.94
  Max DD:     $  6,958.71 (39.19%)
  Win Rate:        72.2%

  Trades:           6807
  Settlements:      8457
  Rejected:        78821
  Avg P&L:    $   +1.6066

  Competition Score: $+10,935.87
============================================================

